"sitecode","nazev_cz","nazev_lat","feature_code","pop_typ","pop_min","pop_max","pop_jednotka","zachovalost","izolace","celkove","stav_text","source_file","druh_cz","druh","poznamka","pop_prum"
"tobolkami.,sdo_3243_2016_0000.pdf
CZ0714081,støevlík hrbolatý,Carabus variolosus,4014,stálá,-,-,-,dobré zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,vynikající hodnota,Cílem je podpoøit a zlepšit stav populace proti stavu pøi vyhlášení EVL vytváøením vhodných pøezimovacích","","","",NA,NA,"","","","","",""," leží uvnitø areálu rozšíøení druhu,vynikající hodnota,Cílem je podpoøit a zlepšit stav populace proti stavu pøi vyhlášení EVL vytváøením vhodných pøezimovacích","","",NA
"úkrytù a zajištìní ochrany stávajícího vodního režimu na podmáèených plochách.,sdo_3243_2016_0000.pdf
CZ0713739,netopýr velký,Myotis myotis,1324,rozmnožující se,250,741,jedinci,vynikající zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,vynikající hodnota,Dlouhodobým cílem je zachovat letní kolonii netopýrù velkých v poèetnosti minimálnì jako v dobì vyhlášení","","","",NA,NA,"","","","","",""," leží uvnitø areálu rozšíøení druhu,vynikající hodnota,Dlouhodobým cílem je zachovat letní kolonii netopýrù velkých v poèetnosti minimálnì jako v dobì vyhlášení","","",NA
"EVL.,sdo_3244_2015.pdf
CZ0714086,netopýr velký,Myotis myotis,1324,NA,NA,NA,NA,vynikající zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,významná hodnota,Udržení minimálnì stejného stavu populace netopýrù"," jako v dobì vyhlašování EVL. Zabezpeèení klidu pro","","",NA,NA,"","","","","",""," leží uvnitø areálu rozšíøení druhu,významná hodnota,Udržení minimálnì stejného stavu populace netopýrù"," jako v dobì vyhlašování EVL. Zabezpeèení klidu pro","",NA
"letouny na jejich zimovištích a zároveò zajištìní jejich snadného pøístupu do jeskyní.,sdo_3246_2017_0000.pdf
CZ0714086,vrápenec malý,Rhinolophus hipposideros,1303,NA,NA,NA,NA,vynikající zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,vynikající hodnota,Udržení minimálnì stejného stavu populace vrápencù"," jako v dobì vyhlašování EVL. Zabezpeèení klidu pro","","",NA,NA,"","","","","",""," leží uvnitø areálu rozšíøení druhu,vynikající hodnota,Udržení minimálnì stejného stavu populace vrápencù"," jako v dobì vyhlašování EVL. Zabezpeèení klidu pro","",NA
"letouny na jejich zimovištích a zároveò zajištìní jejich snadného pøístupu do jeskyní.,sdo_3246_2017_0000.pdf
CZ0713740,vrápenec malý,Rhinolophus hipposideros,1303,rozmnožující se,25,50,jedinci,dobré zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,dobrá hodnota,Cílem je udržet na lokalitì takové podmínky"," aby byla umožnìna existence letní kolonie vrápencù malých","","",NA,NA,"","","","","",""," leží uvnitø areálu rozšíøení druhu,dobrá hodnota,Cílem je udržet na lokalitì takové podmínky"," aby byla umožnìna existence letní kolonie vrápencù malých","",NA
"alespoò v poètu zjištìném v dobì vyhlašování.,sdo_3247_2016_0000.pdf
CZ0713741,vrápenec malý,Rhinolophus hipposideros,1303,NA,NA,NA,NA,dobré zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,dobrá hodnota,Cílem je udržení stávajícího stavu populace vrápencù s poèetností na zimovišti v øádu minimálnì nižších","","","",NA,NA,"","","","","",""," leží uvnitø areálu rozšíøení druhu,dobrá hodnota,Cílem je udržení stávajícího stavu populace vrápencù s poèetností na zimovišti v øádu minimálnì nižších","","",NA
"desítek jedincù.,SDO_3248_2019_0000.pdf
CZ0712191,hoøeèek mnohotvarý èeský * Gentianella,praecox subsp.,4094,stálá,320,1300,jedinci,dobré zachování,populace na okraji areálu,vynikající hodnota,Cílem je udržet poèetnost populace na lokalitì minimálnì jako v dobì vyhlašování EVL (stovky jedincù)","","","","",NA,NA,"","","","","","","","","",NA
"a umožnit rozšíøení hoøeèku i na další èásti lokality.","","","","",NA,NA,"","","","","","","","","",NA
"* oznaèuje prioritní druh,SDO_3249_2019_0000.pdf
CZ0714080,netopýr èerný,Barbastella barbastellus,1308,NA,NA,NA,NA,dobré zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,významná hodnota,Cílem je zachování populace druhu ve stavu minimálnì jako v dobì vyhlašování EVL"," a to zajištìním trvale","","",NA,NA,"","","","","",""," leží uvnitø areálu rozšíøení druhu,významná hodnota,Cílem je zachování populace druhu ve stavu minimálnì jako v dobì vyhlašování EVL"," a to zajištìním trvale","",NA
"vhodných podmínek v lesních porostech a na zimovištích.,sdo_3250_2016_0000.pdf
CZ0714080,netopýr velkouchý,Myotis bechsteinii,1323,NA,NA,NA,NA,dobré zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,dobrá hodnota,Cílem je zachování populace druhu ve stavu minimálnì jako v dobì vyhlašování EVL"," a to zajištìním trvale","","",NA,NA,"","","","","",""," leží uvnitø areálu rozšíøení druhu,dobrá hodnota,Cílem je zachování populace druhu ve stavu minimálnì jako v dobì vyhlašování EVL"," a to zajištìním trvale","",NA
